No.,L,Player,Set,1,2,3,4,5,AA,AP,AE,ASucc%,AP/S,BAA,BAP,BAE,BASucc%,BP,BP/S,SVA,SVP,SVE,SVx,SVEff%,RA,Rx,Rg,RSucc%,MatchNo.,Date,Year,Month,Day,Place,Venue,Team,Op.Team,Director,Coach,Win_Set,Lose_Set,Total_Set,Win_Lose,Get_Point,Lose_Point,Game_Time,Start_Time,End_Time,Spectators,Jury,Chief_Umpire,Sub_Umpire,Judgeman,Home_Away
3,,石井和希,4,■,■,■,■,,43,25,3,58.1,6.25,8,3,1,37.5,0,-,16,0,0,1,1.6,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
5,,佐藤匠,4,■,■,■,■,,13,7,1,53.8,1.75,0,0,0,-,4,1.00,12,0,2,3,2.1,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
6,,浜田翔太,4,■,■,■,■,,3,2,1,66.7,0.50,0,0,0,-,4,1.00,13,0,1,1,0.0,2,0.0,2.0,50.0,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
7,,笠原啓太,4,■,■,■,■,,8,5,0,62.5,1.25,0,0,0,-,1,0.25,18,1,1,7,13.9,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
8,,筒井匠,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,3,0,0,0,0.0,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
9,,前田将武,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,5,0,1,1,0.0,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
10,,川畑貴裕,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
12,,川副大海,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
16,,小堀優,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
17,,茂木祐太,4,■,■,■,■,,26,13,1,50.0,3.25,0,0,0,-,0,-,9,0,1,0,-2.8,19,12.0,2.0,68.4,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
18,,三浦一真,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
19,,堀内雄斗,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,1,1.0,0.0,100.0,501,2020-10-17,2020,10,17,茨城県,アダストリアみとアリーナ,埼玉アザレア,つくばユナイテッドSunGAIA,工藤晴康,岩川泰巳,3,1,4,Win,100,86,97,15:20,17:06,190,勝又正,慈眼雅啓,高橋直也,高橋賢司,Away
1,,上場雄也,4,■,■,■,■,,43,22,2,51.2,5.50,17,8,2,47.1,1,0.25,11,0,3,3,0.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
2,,浜崎勇矢,4,■,■,■,■,,2,1,0,50.0,0.25,0,0,0,-,0,-,13,0,1,2,1.9,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
4,,阿部航平,4,■,■,■,■,,7,3,0,42.9,0.75,0,0,0,-,5,1.25,20,0,2,4,2.5,1,1.0,0.0,100.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
5,,廣瀬優希,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
6,,瀧澤陽紀,3,,□,□,□,,4,3,0,75.0,1.00,1,1,0,100.0,0,-,4,0,1,1,0.0,1,0.0,0.0,0.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
8,,曹海倫,4,■,■,■,■,,18,9,1,50.0,2.25,0,0,0,-,4,1.00,8,0,4,0,-12.5,1,1.0,0.0,100.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
10,,鎌田敏弥,2,,,□,□,,1,1,0,100.0,0.50,0,0,0,-,0,-,1,0,1,0,-25.0,1,1.0,0.0,100.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
12,,土井友登,1,,□,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
13,L,新垣東麻,1,,,,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
14,,勝本真太郎,3,□,,□,□,,0,0,0,-,-,0,0,0,-,0,-,5,0,2,1,-5.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
20,,満生大輝,4,■,■,■,■,,18,11,2,61.1,2.75,2,2,0,100.0,2,0.50,16,0,2,7,7.8,21,12.0,1.0,59.5,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
22,L,関谷拓巳,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,7.0,1.0,46.9,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
23,,曽田一也,4,■,■,■,■,,10,2,2,20.0,0.50,0,0,0,-,1,0.25,18,0,0,4,5.6,19,13.0,4.0,78.9,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
26,,鈴木匡教,2,□,□,,,,3,2,0,66.7,1.00,0,0,0,-,0,-,1,0,1,0,-25.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,つくばユナイテッドSunGAIA,きんでんトリニティーブリッツ,五十嵐元,,3,1,4,Win,98,78,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Home
1,,岡本侑,4,■,■,■,■,,22,9,1,40.9,2.25,2,2,0,100.0,0,-,6,0,3,0,-12.5,30,19.0,4.0,70.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
3,L,長濱裕,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,20,6.0,9.0,52.5,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
5,L,大賀惠介,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
6,,庄司練,1,■,,,,,7,2,2,28.6,2.00,0,0,0,-,0,-,2,0,0,2,25.0,1,0.0,0.0,0.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
7,,田畑翔伍,3,,□,□,■,,3,0,0,0.0,-,0,0,0,-,1,0.33,1,0,0,1,25.0,8,4.0,1.0,56.2,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
9,,内園徹,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,7,1,0,4,28.6,5,2.0,1.0,50.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
11,,毛利光生,4,■,■,■,■,,3,1,0,33.3,0.25,0,0,0,-,0,-,12,0,2,2,0.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
12,,新谷俊揮,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,1,0,1,0,-25.0,1,0.0,0.0,0.0,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
14,,谷川結人,4,■,■,■,■,,32,9,5,28.1,2.25,6,3,0,50.0,0,-,13,2,5,4,13.5,8,5.0,1.0,68.8,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
15,,古川一輝,1,,,,□,,1,1,0,100.0,1.00,0,0,0,-,0,-,1,0,0,0,0.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
17,,和治裕太,4,■,■,■,■,,17,6,0,35.3,1.50,0,0,0,-,1,0.25,13,1,5,2,1.9,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
18,,三木裕人,1,,,,□,,0,0,0,-,-,0,0,0,-,0,-,1,0,0,0,0.0,7,4.0,2.0,71.4,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
21,,小林空,3,■,■,■,,,20,7,1,35.0,2.33,4,1,0,25.0,1,0.33,12,2,1,4,22.9,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
23,,福井裕貴,3,,■,■,■,,12,6,2,50.0,2.00,0,0,0,-,0,-,10,0,0,0,0.0,0,0.0,0.0,-,502,2020-10-18,2020,10,18,茨城県,アダストリアみとアリーナ,きんでんトリニティーブリッツ,つくばユナイテッドSunGAIA,今田善仁,山原健太,1,3,4,Lose,78,98,97,15:10,16:56,270,勝又正,浜野陽一,高橋直也,橘宏宜,Away
1,,酒井駿,4,■,■,■,■,,37,16,6,43.2,4.00,4,2,1,50.0,2,0.50,14,0,1,1,0.0,21,8.0,6.0,52.4,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
2,,鰐川怜児,4,■,■,■,■,,9,5,0,55.6,1.25,0,0,0,-,1,0.25,12,0,3,2,-2.1,1,0.0,1.0,50.0,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
3,L,三角尚久,4,●,●,●,●,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
4,,渡部テヴィン勇人,4,■,■,■,□,,1,0,0,0.0,-,0,0,0,-,0,-,16,1,1,2,7.8,1,0.0,0.0,0.0,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
5,,浅田潮,4,■,■,■,■,,18,5,2,27.8,1.25,0,0,0,-,2,0.50,15,0,0,6,10.0,27,10.0,3.0,42.6,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
6,,松下祐太,4,□,□,□,□,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,6,4.0,1.0,75.0,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
7,,石坂ハスナヌ,4,■,■,■,■,,14,6,3,42.9,1.50,0,0,0,-,4,1.00,13,0,1,1,0.0,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
8,,笹岡凪斗,2,□,□,,,,0,0,0,-,-,0,0,0,-,0,-,4,0,0,1,6.2,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
9,,高瀬太一,4,■,■,■,■,,24,13,5,54.2,3.25,10,7,2,70.0,0,-,9,0,2,3,2.8,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
10,,柳生大成,0,,,,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
12,L,山田広大,4,〇,〇,〇,〇,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,16,7.0,6.0,62.5,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
14,,高井大輝,3,□,,□,■,,0,0,0,-,-,0,0,0,-,0,-,6,0,0,1,4.2,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
15,,曾根裕也,1,,,□,,,0,0,0,-,-,0,0,0,-,0,-,0,0,0,0,-,0,0.0,0.0,-,503,2020-10-24,2020,10,24,北海道,旭川市リアルター夢りんご体育館,長野GaRons,サフィルヴァ北海道,篠崎寛,,1,3,4,Lose,88,95,96,10:00,11:45,542,酒出修,大塚健之,笹木宣拓,佐藤真理,Home
